drug1,drug2,label
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,13,2
12,14,2
15,16,2
17,16,2
18,19,2
20,21,2
22,23,2
18,24,2
12,25,2
26,27,2
28,29,2
30,31,2
18,15,2
26,32,2
12,26,2
33,34,2
20,35,2
26,36,2
18,37,2
38,39,2
28,15,2
19,16,2
20,40,2
41,42,2
28,21,2
38,23,2
12,43,2
43,16,2
26,44,2
45,16,2
12,21,2
46,16,2
20,47,2
12,48,2
20,49,2
30,42,2
50,16,2
28,25,2
12,50,2
28,17,2
20,15,2
38,42,2
26,46,2
28,51,2
28,19,2
38,34,2
22,52,2
18,20,2
18,46,2
22,53,2
28,54,2
30,39,2
28,46,2
12,29,2
21,16,2
20,12,2
30,55,2
18,54,2
20,43,2
38,56,2
18,57,2
18,25,2
20,29,2
41,58,2
18,59,2
20,60,2
13,16,2
12,19,2
12,61,2
28,59,2
18,17,2
12,16,2
26,24,2
26,45,2
41,52,2
28,61,2
20,13,2
28,14,2
37,16,2
26,35,2
18,50,2
26,62,2
14,16,2
38,52,2
33,63,2
64,16,2
28,47,2
28,65,2
28,37,2
26,28,2
12,57,2
33,58,2
12,44,2
38,66,2
20,44,2
22,31,2
33,55,2
20,57,2
12,35,2
18,29,2
20,62,2
26,59,2
22,55,2
28,67,2
61,16,2
26,43,2
30,23,2
18,36,2
12,68,2
12,40,2
20,45,2
62,16,2
26,69,2
28,68,2
26,50,2
40,16,2
26,47,2
20,70,2
26,21,2
41,31,2
38,71,2
30,63,2
20,59,2
41,55,2
26,57,2
26,16,2
12,49,2
18,14,2
26,13,2
12,28,2
68,16,2
12,37,2
33,23,2
18,68,2
26,29,2
18,40,2
12,51,2
30,34,2
28,57,2
28,72,2
38,63,2
72,16,2
38,58,2
26,15,2
20,37,2
28,36,2
29,16,2
30,56,2
28,16,2
18,44,2
18,73,2
18,48,2
20,14,2
20,50,2
18,69,2
38,55,2
28,24,2
26,37,2
73,16,2
20,54,2
12,64,2
41,23,2
12,54,2
28,62,2
20,26,2
12,15,2
18,45,2
12,24,2
20,74,2
70,16,2
18,27,2
18,32,2
12,17,2
18,61,2
20,17,2
20,25,2
18,70,2
28,45,2
22,75,2
41,56,2
44,16,2
76,16,2
20,64,2
26,72,2
20,61,2
28,35,2
33,42,2
49,16,2
22,39,2
12,59,2
33,56,2
30,71,2
60,16,2
28,74,2
30,66,2
12,46,2
28,43,2
12,62,2
77,16,2
33,52,2
12,45,2
26,54,2
18,26,2
18,76,2
12,70,2
33,39,2
28,50,2
22,42,2
20,73,2
18,21,2
20,77,2
18,60,2
20,68,2
20,36,2
20,16,2
32,16,2
38,75,2
41,34,2
22,56,2
30,52,2
25,16,2
69,16,2
33,53,2
22,71,2
28,48,2
12,74,2
22,34,2
22,66,2
26,65,2
18,64,2
27,16,2
18,77,2
26,14,2
51,16,2
28,27,2
74,16,2
41,75,2
12,27,2
28,69,2
26,49,2
30,53,2
18,51,2
28,73,2
18,47,2
33,75,2
38,31,2
20,27,2
18,13,2
22,63,2
12,77,2
30,75,2
48,16,2
38,53,2
20,76,2
18,28,2
57,16,2
54,16,2
22,58,2
41,53,2
12,60,2
18,49,2
20,72,2
41,63,2
47,16,2
18,43,2
26,51,2
18,62,2
12,76,2
28,32,2
26,17,2
12,72,2
30,58,2
59,16,2
28,70,2
18,12,2
28,77,2
24,16,2
26,64,2
18,74,2
65,16,2
20,19,2
12,36,2
12,65,2
26,48,2
26,76,2
20,28,2
28,40,2
20,69,2
28,13,2
20,32,2
28,76,2
28,44,2
26,77,2
20,46,2
26,74,2
20,48,2
26,19,2
12,73,2
26,70,2
26,61,2
20,51,2
41,71,2
26,60,2
20,65,2
33,31,2
12,32,2
41,39,2
26,25,2
18,35,2
28,60,2
28,49,2
12,69,2
20,24,2
36,16,2
28,64,2
26,68,2
26,40,2
33,71,2
18,65,2
26,73,2
33,66,2
41,66,2
12,47,2
78,79,3
78,80,3
81,82,3
83,84,3
85,82,3
86,87,3
88,84,3
89,80,3
90,91,3
81,92,3
90,93,3
94,95,3
88,96,3
97,98,3
90,99,3
94,79,3
83,100,3
78,101,3
83,102,3
85,103,3
89,104,3
86,105,3
89,106,3
81,107,3
97,108,3
90,109,3
86,110,3
97,111,3
86,93,3
81,112,3
78,96,3
89,92,3
78,113,3
97,114,3
94,115,3
88,101,3
90,116,3
89,117,3
85,100,3
85,102,3
86,117,3
118,99,3
118,98,3
81,119,3
85,106,3
85,104,3
81,80,3
89,103,3
118,120,3
86,121,3
86,112,3
81,113,3
89,122,3
89,123,3
88,95,3
88,113,3
78,95,3
88,124,3
85,125,3
83,87,3
97,82,3
88,126,3
94,84,3
81,123,3
85,120,3
86,108,3
85,92,3
94,125,3
78,127,3
78,128,3
83,110,3
85,108,3
85,111,3
78,104,3
83,117,3
90,129,3
97,123,3
94,80,3
86,103,3
81,101,3
118,82,3
86,95,3
86,79,3
94,114,3
118,110,3
94,119,3
90,130,3
118,111,3
118,108,3
83,121,3
81,117,3
81,96,3
78,125,3
89,87,3
118,93,3
90,131,3
78,102,3
78,100,3
90,87,3
89,105,3
83,113,3
88,107,3
78,106,3
90,122,3
88,82,3
78,131,3
94,102,3
90,123,3
97,80,3
97,113,3
118,129,3
88,112,3
97,125,3
90,102,3
90,100,3
86,106,3
86,104,3
85,128,3
85,127,3
94,122,3
90,121,3
86,99,3
118,117,3
88,106,3
94,110,3
88,104,3
90,84,3
83,95,3
89,132,3
85,101,3
86,107,3
89,109,3
118,79,3
118,122,3
118,123,3
97,95,3
94,91,3
86,119,3
86,131,3
83,93,3
118,84,3
83,82,3
88,105,3
85,96,3
85,117,3
86,133,3
83,106,3
83,104,3
85,124,3
94,126,3
85,133,3
81,131,3
89,120,3
78,91,3
78,129,3
97,93,3
97,87,3
81,114,3
94,108,3
94,111,3
118,128,3
88,98,3
118,127,3
78,109,3
94,121,3
90,126,3
86,124,3
118,115,3
83,114,3
83,131,3
83,112,3
90,101,3
97,115,3
78,99,3
90,128,3
88,117,3
90,127,3
78,120,3
83,130,3
97,130,3
89,134,3
97,128,3
97,127,3
90,96,3
97,101,3
78,98,3
89,114,3
118,135,3
90,113,3
81,120,3
85,84,3
90,124,3
88,99,3
90,112,3
118,80,3
97,96,3
88,110,3
78,93,3
94,93,3
88,120,3
86,134,3
85,80,3
85,113,3
94,135,3
118,103,3
88,80,3
94,132,3
85,119,3
89,96,3
85,134,3
83,96,3
81,109,3
118,133,3
83,135,3
88,115,3
118,130,3
94,130,3
85,115,3
86,135,3
94,124,3
118,119,3
78,132,3
78,105,3
81,98,3
89,124,3
83,99,3
83,101,3
90,107,3
78,87,3
90,105,3
88,133,3
81,91,3
81,84,3
78,103,3
97,92,3
78,115,3
86,98,3
97,120,3
97,84,3
88,79,3
90,125,3
85,110,3
86,126,3
81,105,3
85,135,3
81,93,3
78,116,3
89,113,3
90,82,3
97,103,3
94,109,3
89,133,3
94,131,3
118,92,3
90,95,3
118,125,3
97,121,3
89,91,3
89,129,3
97,112,3
85,114,3
94,107,3
89,121,3
89,135,3
118,134,3
78,117,3
89,95,3
86,84,3
88,122,3
78,123,3
86,116,3
78,122,3
88,123,3
97,132,3
118,109,3
89,108,3
86,82,3
85,98,3
81,87,3
94,99,3
90,98,3
94,82,3
85,121,3
85,132,3
81,103,3
97,106,3
118,132,3
78,111,3
78,108,3
83,107,3
81,115,3
85,129,3
85,91,3
86,102,3
86,125,3
83,115,3
97,105,3
136,137,3
88,135,3
81,122,3
97,110,3
81,116,3
88,128,3
86,109,3
88,127,3
118,95,3
118,121,3
89,98,3
81,132,3
97,116,3
78,126,3
78,133,3
89,107,3
83,119,3
97,119,3
90,114,3
81,127,3
81,128,3
88,132,3
86,114,3
97,117,3
97,109,3
90,115,3
81,126,3
81,95,3
89,110,3
85,93,3
88,134,3
90,110,3
81,124,3
118,116,3
81,79,3
90,120,3
97,99,3
89,130,3
89,127,3
89,128,3
89,131,3
90,79,3
94,87,3
90,117,3
118,114,3
118,131,3
88,111,3
89,126,3
118,87,3
85,123,3
118,96,3
85,122,3
88,119,3
85,130,3
97,102,3
97,100,3
85,112,3
78,130,3
88,103,3
83,128,3
97,79,3
83,127,3
89,100,3
94,129,3
89,102,3
97,126,3
83,116,3
89,115,3
85,79,3
81,133,3
83,105,3
86,111,3
118,107,3
90,133,3
83,80,3
81,125,3
78,114,3
94,105,3
83,129,3
85,126,3
78,124,3
83,126,3
88,102,3
83,109,3
78,134,3
85,109,3
81,111,3
81,108,3
83,125,3
88,92,3
81,104,3
81,106,3
88,125,3
88,93,3
97,104,3
89,99,3
86,100,3
86,123,3
89,84,3
86,122,3
85,116,3
86,115,3
97,131,3
83,111,3
83,108,3
83,92,3
94,103,3
78,135,3
88,109,3
94,128,3
78,110,3
89,82,3
94,101,3
85,107,3
89,125,3
97,107,3
94,98,3
81,130,3
83,122,3
118,124,3
83,123,3
118,126,3
78,121,3
97,135,3
118,91,3
94,96,3
86,96,3
94,117,3
94,104,3
88,100,3
88,108,3
118,101,3
97,133,3
81,129,3
97,122,3
83,79,3
85,95,3
78,112,3
86,80,3
94,133,3
89,112,3
88,121,3
94,120,3
94,92,3
