drug1,drug2,label
0,117,48
1,1222,15
2,383,48
3,640,46
4,1006,46
5,900,26
6,697,70
7,492,48
8,159,48
9,797,59
10,1001,72
11,821,48
12,528,48
13,579,48
14,535,74
15,149,46
16,431,74
17,1217,59
18,366,72
19,195,74
20,89,48
21,1090,59
22,1421,73
23,712,15
24,1239,48
25,73,74
26,1197,72
27,685,11
28,863,66
29,1067,74
30,13,59
31,1172,74
32,60,15
33,24,59
34,1045,71
35,1300,72
36,159,46
37,422,48
38,709,19
39,841,48
40,306,48
41,1217,59
42,1196,46
43,114,46
44,439,72
32,968,46
45,1035,59
46,1353,4
47,150,69
48,1039,72
49,480,48
50,429,48
37,727,59
51,1197,72
35,1292,72
52,658,48
53,1177,48
54,900,19
55,863,66
56,531,5
57,1366,84
58,1178,72
59,968,46
60,556,48
61,1537,42
62,440,48
63,211,3
64,498,46
65,671,48
66,757,19
2,83,26
67,1284,1
68,159,46
69,633,46
70,1045,48
71,383,48
72,764,72
73,615,72
74,973,74
75,1035,48
76,805,21
77,1035,72
78,263,48
79,186,48
8,413,48
80,264,48
81,647,3
82,297,48
83,445,57
72,713,48
84,1166,46
85,1125,59
86,581,48
87,531,46
88,776,5
89,367,48
88,790,5
90,1598,48
91,601,59
92,707,48
93,798,46
94,1240,46
81,409,3
95,1171,15
96,1039,72
97,794,72
53,100,48
98,1067,19
99,914,46
21,926,48
100,794,48
101,1178,48
102,130,5
103,1000,48
104,845,26
105,1573,72
106,780,46
107,601,84
108,459,73
109,131,46
40,535,46
110,571,48
111,615,5
105,46,72
112,820,46
113,328,66
114,1015,76
115,1139,46
116,1134,69
117,85,48
118,1012,46
119,814,72
16,820,46
60,716,46
120,161,48
121,0,46
122,597,48
94,786,59
123,407,13
124,422,48
125,80,48
126,1126,23
127,859,48
128,1121,74
10,1391,72
129,1292,72
130,43,46
131,422,72
132,321,48
0,945,46
133,316,59
134,1354,19
135,737,20
101,315,48
136,420,74
137,772,46
138,1159,48
139,892,48
140,478,74
141,641,46
142,993,46
143,93,48
144,1167,48
145,133,59
139,148,46
146,1123,46
147,205,33
148,709,19
149,893,59
150,549,46
130,410,72
151,150,48
152,161,48
153,101,72
154,270,53
155,1238,13
103,694,46
156,110,46
157,1493,73
158,774,15
159,962,48
160,1160,1
161,127,48
162,1012,46
163,659,48
164,1322,13
30,838,48
165,124,59
81,891,3
166,461,48
167,789,48
168,8,48
169,410,19
170,927,48
31,273,3
171,298,69
172,1191,3
173,657,59
174,1421,73
175,854,46
176,842,59
177,384,74
178,637,19
179,524,48
138,383,48
180,702,72
181,653,46
182,606,48
112,280,48
38,588,19
37,551,48
183,351,48
184,419,72
185,158,15
186,144,48
187,968,46
188,311,46
189,632,48
190,1017,72
118,17,59
191,558,48
192,296,19
193,672,72
194,921,48
195,278,72
196,234,48
