drug1,drug2,label,scenario
0,213,48,S0
1,464,48,S0
2,719,26,S0
3,155,46,S0
4,205,3,S0
5,503,69,S0
6,768,69,S0
7,48,3,S0
8,590,46,S0
9,223,48,S0
10,47,48,S0
11,1127,59,S0
12,302,59,S0
13,97,46,S0
14,900,46,S0
15,200,71,S0
16,687,48,S0
17,1292,46,S0
18,186,48,S0
19,1362,69,S0
20,373,48,S0
21,727,46,S0
22,675,39,S0
23,664,46,S0
24,260,59,S0
25,722,15,S0
26,52,48,S0
27,1181,48,S0
28,552,19,S0
29,472,19,S0
30,1448,63,S0
31,174,72,S0
32,409,48,S0
33,749,48,S0
34,763,53,S0
35,173,5,S0
36,592,48,S0
37,1259,48,S0
38,528,46,S0
39,276,48,S0
40,905,72,S0
41,1438,46,S0
42,784,48,S0
43,602,19,S0
44,190,48,S0
45,541,46,S0
46,687,48,S0
47,566,48,S0
48,350,19,S0
49,1225,72,S0
50,1004,48,S0
51,1037,48,S0
52,707,46,S0
53,1105,72,S0
21,285,48,S0
54,1215,48,S0
55,503,69,S0
56,1149,72,S0
57,845,48,S0
58,30,1,S0
59,727,72,S0
60,1001,48,S0
61,328,46,S0
62,643,48,S0
63,634,46,S0
64,156,48,S0
65,465,57,S0
66,948,46,S0
67,766,48,S0
68,623,5,S0
69,594,48,S0
62,1211,48,S0
70,992,48,S0
71,1292,69,S0
72,128,48,S0
73,552,48,S0
74,211,70,S0
75,938,19,S0
76,176,15,S0
77,942,48,S0
78,392,48,S0
79,1109,74,S0
80,383,48,S0
81,143,69,S0
82,467,48,S0
83,632,20,S0
84,231,48,S0
85,717,48,S0
86,981,59,S0
87,310,72,S0
88,106,48,S0
89,609,36,S0
2,383,48,S0
90,28,46,S0
91,922,48,S0
92,784,48,S0
93,719,74,S0
66,250,48,S0
94,805,72,S0
95,1055,72,S0
96,438,5,S0
97,128,48,S0
98,864,48,S0
99,23,31,S0
100,198,48,S0
101,249,8,S0
102,520,48,S0
103,618,48,S0
104,952,69,S0
105,9,15,S0
106,470,48,S0
